Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-11-09,2017,11,9,Thursday,45,2017-45,308.64,329.45,307.06,320.88,893249984,320.88,0.0,320.88,320.88
2017-11-10,2017,11,10,Friday,45,2017-45,320.67,324.72,294.54,299.25,885985984,299.25,-6.741,310.065,310.065
2017-11-11,2017,11,11,Saturday,45,2017-45,298.59,319.45,298.19,314.68,842300992,314.68,5.156,311.6033333333333,311.6033333333333
2017-11-12,2017,11,12,Sunday,46,2017-46,314.69,319.15,298.51,307.91,1613479936,307.91,-2.152,310.68,310.68
2017-11-13,2017,11,13,Monday,46,2017-46,307.02,328.42,307.02,316.72,1041889984,316.72,2.861,311.88800000000003,311.88800000000003
2017-11-14,2017,11,14,Tuesday,46,2017-46,316.76,340.18,316.76,337.63,1069680000,337.63,6.604,316.17833333333334,316.17833333333334
2017-11-15,2017,11,15,Wednesday,46,2017-46,337.96,340.91,329.81,333.36,722665984,333.36,-1.266,318.6328571428572,318.6328571428572
2017-11-16,2017,11,16,Thursday,46,2017-46,333.44,336.16,323.61,330.92,797254016,330.92,-0.73,320.16875,320.16875
2017-11-17,2017,11,17,Friday,46,2017-46,330.17,334.96,327.52,332.39,621732992,332.39,0.444,321.5266666666667,321.5266666666667
2017-11-18,2017,11,18,Saturday,46,2017-46,331.98,349.62,327.69,347.61,649638976,347.61,4.578,324.135,324.135
2017-11-19,2017,11,19,Sunday,47,2017-47,347.4,371.29,344.74,354.39,1181529984,354.39,1.949,326.8854545454546,326.8854545454546
2017-11-20,2017,11,20,Monday,47,2017-47,354.09,372.14,353.29,366.73,807027008,366.73,3.483,330.2058333333334,330.2058333333334
2017-11-21,2017,11,21,Tuesday,47,2017-47,367.44,372.47,350.69,360.4,949912000,360.4,-1.726,332.52846153846156,332.52846153846156
2017-11-22,2017,11,22,Wednesday,47,2017-47,360.31,381.42,360.15,380.65,800819008,380.65,5.619,335.96571428571434,335.96571428571434
2017-11-23,2017,11,23,Thursday,47,2017-47,381.44,425.55,376.09,410.17,1845680000,410.17,7.754,342.3435714285714,340.9126666666667
2017-11-24,2017,11,24,Friday,47,2017-47,412.5,480.97,402.76,474.91,2292829952,474.91,15.785,354.8907142857143,349.2875
2017-11-25,2017,11,25,Saturday,47,2017-47,475.68,485.19,461.05,466.28,1422080000,466.28,-1.818,365.7192857142857,356.1694117647059
2017-11-26,2017,11,26,Sunday,48,2017-48,465.97,472.72,451.61,471.33,1197779968,471.33,1.084,377.39214285714286,362.5672222222222
2017-11-27,2017,11,27,Monday,48,2017-48,471.53,493.4,468.48,480.36,1396480000,480.36,1.915,389.0807142857143,368.76684210526315
2017-11-28,2017,11,28,Tuesday,48,2017-48,480.52,482.48,466.35,472.9,1346499968,472.9,-1.552,398.7428571428572,373.9735
2017-11-29,2017,11,29,Wednesday,48,2017-48,473.28,522.31,425.07,427.52,2675940096,427.52,-9.596,405.4685714285714,376.5233333333333
2017-11-30,2017,11,30,Thursday,48,2017-48,431.21,465.5,401.24,447.11,1903040000,447.11,4.582,413.76785714285717,379.7318181818182
2017-12-01,2017,12,1,Friday,48,2017-48,445.21,472.61,428.31,466.54,1247879936,466.54,4.345,423.35,383.5060869565217
2017-12-02,2017,12,2,Saturday,48,2017-48,466.85,476.24,456.65,463.45,943649984,463.45,-0.663,431.6242857142857,386.83708333333334
2017-12-03,2017,12,3,Sunday,49,2017-49,463.7,482.81,451.85,465.85,990556992,465.85,0.519,439.58571428571435,389.99760000000003
2017-12-04,2017,12,4,Monday,49,2017-49,466.05,474.78,453.31,470.2,1005550016,470.2,0.934,446.9764285714286,393.08230769230767
2017-12-05,2017,12,5,Tuesday,49,2017-49,470.29,473.56,457.66,463.28,1216720000,463.28,-1.472,454.325,395.6822222222222
2017-12-06,2017,12,6,Wednesday,49,2017-49,462.6,462.71,420.21,428.59,1998259968,428.59,-7.489,457.7492857142857,396.8575
2017-12-07,2017,12,7,Thursday,49,2017-49,426.37,441.4,414.41,434.41,2129570048,434.41,1.358,459.48071428571427,398.15241379310345
2017-12-08,2017,12,8,Friday,49,2017-49,434.99,466.06,422.37,456.03,2336379904,456.03,4.978,458.1321428571428,400.0816666666667
2017-12-09,2017,12,9,Saturday,49,2017-49,457.34,504.15,456.25,473.5,2003849984,473.5,3.831,458.6478571428571,402.45000000000005
2017-12-10,2017,12,10,Sunday,50,2017-50,472.79,472.79,429.51,441.72,1404179968,441.72,-6.712,456.53285714285715,403.6771875
2017-12-11,2017,12,11,Monday,50,2017-50,440.36,516.97,439.1,515.14,1771440000,515.14,16.62,459.01714285714286,407.0548484848485
2017-12-12,2017,12,12,Tuesday,50,2017-50,522.29,657.32,504.49,651.43,5179829760,651.43,26.458,471.7692857142857,414.2423529411765
2017-12-13,2017,12,13,Wednesday,50,2017-50,644.91,747.99,597.8,702.77,4524539904,702.77,7.88,491.43,422.486
2017-12-14,2017,12,14,Thursday,50,2017-50,700.59,753.12,664.99,695.82,3821580032,695.82,-0.989,509.195,430.0786111111111
2017-12-15,2017,12,15,Friday,50,2017-50,696.38,697.13,621.06,684.45,2758710016,684.45,-1.634,524.76,436.95351351351354
2017-12-16,2017,12,16,Saturday,50,2017-50,686.19,718.39,680.79,696.21,2165690112,696.21,1.718,541.3857142857142,443.776052631579
2017-12-17,2017,12,17,Sunday,51,2017-51,696.24,735.83,696.24,719.97,2147389952,719.97,3.414,559.5371428571428,450.8579487179487
2017-12-18,2017,12,18,Monday,51,2017-51,721.73,803.93,689.23,794.65,3249230080,794.65,10.371,582.7121428571428,459.45275000000004
2017-12-19,2017,12,19,Tuesday,51,2017-51,793.9,881.94,785.34,826.82,4096549888,826.82,4.049,608.6792857142857,468.4129268292683
2017-12-20,2017,12,20,Wednesday,51,2017-51,827.52,845.06,756.0,819.09,3969939968,819.09,-0.936,636.5721428571429,476.76238095238097
2017-12-21,2017,12,21,Thursday,51,2017-51,820.24,880.54,792.69,821.06,3569060096,821.06,0.241,664.1899999999999,484.76930232558146
2017-12-22,2017,12,22,Friday,51,2017-51,822.64,827.68,543.76,674.86,4977710080,674.86,-17.807,679.8207142857143,489.08954545454543
2017-12-23,2017,12,23,Saturday,51,2017-51,681.32,763.9,679.73,719.39,2480339968,719.39,6.598,697.3842857142856,494.2073333333334
2017-12-24,2017,12,24,Sunday,52,2017-52,721.77,721.77,614.92,694.15,2300549888,694.15,-3.508,715.415,498.55391304347825
2017-12-25,2017,12,25,Monday,52,2017-52,698.87,782.52,698.87,765.83,2491760128,765.83,10.327,733.3214285714286,504.24063829787235
2017-12-26,2017,12,26,Tuesday,52,2017-52,763.37,786.79,760.93,773.84,2201159936,773.84,1.045,742.0649999999999,509.8572916666667
2017-12-27,2017,12,27,Wednesday,52,2017-52,774.97,789.25,738.41,762.84,2100029952,762.84,-1.421,746.3557142857143,515.0202040816326
2017-12-28,2017,12,28,Thursday,52,2017-52,762.21,763.32,701.19,737.02,2389149952,737.02,-3.385,749.2985714285714,519.4602
2017-12-29,2017,12,29,Friday,52,2017-52,740.39,770.12,729.61,753.59,2648969984,753.59,2.248,754.2371428571429,528.1143999999999
2017-12-30,2017,12,30,Saturday,52,2017-52,753.82,753.82,685.23,717.26,3187780096,717.26,-4.822,755.7407142857144,536.4746
2017-12-31,2017,12,31,Sunday,53,2017-53,712.21,760.35,710.12,756.73,2554269952,756.73,5.504,758.3664285714286,545.3156
2018-01-01,2018,1,1,Monday,00,2018-00,755.76,782.53,742.0,772.64,2595760128,772.64,2.102,756.7942857142856,554.6102
2018-01-02,2018,1,2,Tuesday,00,2018-00,772.35,914.83,772.35,884.44,5783349760,884.44,14.47,760.91,565.9646
2018-01-03,2018,1,3,Wednesday,00,2018-00,886.0,974.47,868.45,962.72,5093159936,962.72,8.85,771.1692857142856,578.4664
2018-01-04,2018,1,4,Thursday,00,2018-00,961.71,1045.08,946.09,980.92,6502859776,980.92,1.891,782.5878571428572,591.4176
2018-01-05,2018,1,5,Friday,00,2018-00,975.75,1075.39,956.33,997.72,6683149824,997.72,1.712,805.6492857142857,604.7536
2018-01-06,2018,1,6,Saturday,00,2018-00,995.15,1060.71,994.62,1041.68,4662219776,1041.68,4.406,828.6700000000001,618.9394
2018-01-07,2018,1,7,Sunday,01,2018-01,1043.01,1153.17,1043.01,1153.17,5569880064,1153.17,10.703,861.4571428571429,635.0506
2018-01-08,2018,1,8,Monday,01,2018-01,1158.26,1266.93,1016.05,1148.53,8450970112,1148.53,-0.402,888.7928571428572,650.9334
2018-01-09,2018,1,9,Tuesday,01,2018-01,1146.0,1320.98,1145.49,1299.74,7965459968,1299.74,13.166,926.3571428571429,669.5936
2018-01-10,2018,1,10,Wednesday,01,2018-01,1300.34,1417.38,1226.6,1255.82,9214950400,1255.82,-3.379,961.5699999999999,687.502
2018-01-11,2018,1,11,Thursday,01,2018-01,1268.09,1337.3,1135.17,1154.93,7235899904,1154.93,-8.034,991.4207142857142,702.9876
2018-01-12,2018,1,12,Friday,01,2018-01,1158.29,1296.04,1120.09,1273.2,5222300160,1273.2,10.24,1028.5357142857142,720.2481999999999
2018-01-13,2018,1,13,Saturday,01,2018-01,1270.47,1432.88,1270.47,1396.42,5746760192,1396.42,9.678,1077.047142857143,738.6784
2018-01-14,2018,1,14,Sunday,02,2018-02,1397.48,1400.56,1286.21,1366.77,4841630208,1366.77,-2.123,1120.6214285714286,756.6882
2018-01-15,2018,1,15,Monday,02,2018-02,1365.21,1390.59,1290.6,1291.92,4781100032,1291.92,-5.476,1157.7128571428573,773.1
2018-01-16,2018,1,16,Tuesday,02,2018-02,1292.63,1292.63,875.54,1053.69,8405139968,1053.69,-18.44,1169.8021428571428,784.5666
2018-01-17,2018,1,17,Wednesday,02,2018-02,1061.34,1090.23,780.92,1014.25,8545160192,1014.25,-3.743,1173.4828571428573,795.3936
2018-01-18,2018,1,18,Thursday,02,2018-02,1016.44,1100.31,967.76,1036.28,5938319872,1036.28,2.172,1177.437142857143,807.5688
2018-01-19,2018,1,19,Friday,02,2018-02,1028.82,1093.22,1003.71,1039.1,4084450048,1039.1,0.272,1180.392857142857,819.4086
2018-01-20,2018,1,20,Saturday,02,2018-02,1044.95,1167.11,1044.95,1155.15,3975190016,1155.15,11.168,1188.4978571428571,833.1808
2018-01-21,2018,1,21,Sunday,03,2018-03,1155.68,1155.68,1021.5,1049.58,3378089984,1049.58,-9.139,1181.0985714285714,844.9034000000001
2018-01-22,2018,1,22,Monday,03,2018-03,1055.35,1089.1,930.74,1003.26,3810099968,1003.26,-4.413,1170.722142857143,855.6516
2018-01-23,2018,1,23,Tuesday,03,2018-03,1004.17,1023.23,920.54,986.23,3556699904,986.23,-1.698,1148.3285714285714,865.9722
2018-01-24,2018,1,24,Wednesday,03,2018-03,987.48,1062.44,965.81,1058.78,3944039936,1058.78,7.356,1134.2542857142857,877.8822
2018-01-25,2018,1,25,Thursday,03,2018-03,1063.22,1104.66,1034.74,1056.03,4050190080,1056.03,-0.26,1127.19,890.4309999999999
2018-01-26,2018,1,26,Friday,03,2018-03,1052.7,1080.6,996.78,1055.17,3617690112,1055.17,-0.081,1111.6164285714287,902.8462000000001
2018-01-27,2018,1,27,Saturday,03,2018-03,1055.75,1121.98,1042.12,1107.07,3002870016,1107.07,4.919,1090.9485714285715,915.8670000000001
2018-01-28,2018,1,28,Sunday,04,2018-04,1111.78,1257.77,1111.78,1246.01,5372329984,1246.01,12.55,1082.3228571428572,931.3172
2018-01-29,2018,1,29,Monday,04,2018-04,1246.7,1256.7,1169.08,1182.36,3715079936,1182.36,-5.108,1074.4971428571428,946.13
2018-01-30,2018,1,30,Tuesday,04,2018-04,1184.13,1184.63,1058.97,1071.13,4107859968,1071.13,-9.407,1075.7428571428572,957.2498
2018-01-31,2018,1,31,Wednesday,04,2018-04,1071.09,1128.66,1034.5,1118.31,3757560064,1118.31,4.405,1083.1757142857143,966.5874
2018-02-01,2018,2,1,Thursday,04,2018-04,1119.37,1161.35,984.82,1036.79,5261680128,1036.79,-7.29,1083.212142857143,973.2678
2018-02-02,2018,2,2,Friday,04,2018-04,1035.77,1035.77,757.98,915.78,6713290240,915.78,-11.671,1074.4035714285715,977.6669999999999
2018-02-03,2018,2,3,Saturday,04,2018-04,919.21,991.94,847.69,964.02,3243480064,964.02,5.267,1060.7514285714285,983.2583999999999
2018-02-04,2018,2,4,Sunday,05,2018-05,964.67,969.03,805.06,834.68,2997090048,834.68,-13.416,1045.4014285714286,986.0278
2018-02-05,2018,2,5,Monday,05,2018-05,834.96,856.65,644.6,697.95,4269530112,697.95,-16.381,1023.5935714285714,985.5874
2018-02-06,2018,2,6,Tuesday,05,2018-05,707.74,796.44,574.42,793.12,6518269952,793.12,13.636,1009.8000000000001,985.5568
2018-02-07,2018,2,7,Wednesday,05,2018-05,790.43,851.2,723.43,757.07,3896179968,757.07,-4.546,988.2492857142857,984.1618
2018-02-08,2018,2,8,Thursday,05,2018-05,755.84,845.09,755.84,817.81,3708189952,817.81,8.023,971.2335714285713,984.1362000000001
2018-02-09,2018,2,9,Friday,05,2018-05,818.48,884.0,788.83,883.86,2495820032,883.86,8.077,958.9971428571428,985.3922
2018-02-10,2018,2,10,Saturday,05,2018-05,882.47,917.4,825.58,860.41,2930530048,860.41,-2.653,941.3785714285714,989.1031999999999
2018-02-11,2018,2,11,Sunday,06,2018-06,859.29,859.29,788.22,814.66,2486650112,814.66,-5.318,910.5678571428572,991.0086
2018-02-12,2018,2,12,Monday,06,2018-06,817.51,875.94,817.51,868.71,2243450112,868.71,6.634,888.1642857142857,994.4997999999999
2018-02-13,2018,2,13,Tuesday,06,2018-06,869.29,870.71,828.84,845.26,2081170048,845.26,-2.699,872.0307142857142,996.0884000000001
2018-02-14,2018,2,14,Wednesday,06,2018-06,844.28,926.43,844.28,923.56,2818370048,923.56,9.264,858.12,999.0828
2018-02-15,2018,2,15,Thursday,06,2018-06,923.73,951.95,911.11,936.98,2900100096,936.98,1.453,850.9907142857144,1002.5656
2018-02-16,2018,2,16,Friday,06,2018-06,934.79,950.01,917.85,944.21,2369449984,944.21,0.772,853.0214285714285,1006.7094000000001
2018-02-17,2018,2,17,Saturday,06,2018-06,944.75,976.59,940.75,974.11,2525720064,974.11,3.167,853.7421428571428,1011.1198
2018-02-18,2018,2,18,Sunday,07,2018-07,973.35,982.93,915.45,923.92,2567290112,923.92,-5.153,860.1164285714285,1015.253
2018-02-19,2018,2,19,Monday,07,2018-07,921.67,957.78,921.55,943.86,2169019904,943.86,2.159,877.6814285714287,1018.9956
2018-02-20,2018,2,20,Tuesday,07,2018-07,943.57,965.27,892.95,895.37,2545260032,895.37,-5.138,884.9849999999999,1021.4501999999999
2018-02-21,2018,2,21,Wednesday,07,2018-07,894.14,912.38,830.56,849.97,2531729920,849.97,-5.071,891.6207142857144,1020.7608
2018-02-22,2018,2,22,Thursday,07,2018-07,849.26,875.93,802.67,812.84,2150370048,812.84,-4.368,891.2657142857144,1017.7632000000001
2018-02-23,2018,2,23,Friday,07,2018-07,811.59,886.32,794.79,864.19,2334820096,864.19,6.317,889.8607142857143,1015.4286
2018-02-24,2018,2,24,Saturday,07,2018-07,861.59,879.53,818.55,840.52,1926579968,840.52,-2.739,888.4399999999999,1012.2846000000001
2018-02-25,2018,2,25,Sunday,08,2018-08,839.46,853.15,822.38,844.81,1646960000,844.81,0.511,890.5935714285714,1008.3472
2018-02-26,2018,2,26,Monday,08,2018-08,845.28,880.39,842.32,869.32,2044480000,869.32,2.901,890.6371428571427,1002.6702
2018-02-27,2018,2,27,Tuesday,08,2018-08,870.36,896.26,867.1,878.27,2053980032,878.27,1.03,892.995,997.265
2018-02-28,2018,2,28,Wednesday,08,2018-08,877.93,890.11,855.12,855.2,1963980032,855.2,-2.626,888.1121428571429,988.3742
2018-03-01,2018,3,1,Thursday,08,2018-08,856.01,880.3,851.92,872.2,1868519936,872.2,1.988,883.485,980.7017999999999
2018-03-02,2018,3,2,Friday,08,2018-08,871.76,876.38,852.42,856.85,1894419968,856.85,-1.76,877.245,974.7402000000001
2018-03-03,2018,3,3,Saturday,08,2018-08,856.71,868.45,855.21,857.22,1699369984,857.22,0.043,868.8957142857143,966.4205999999999
2018-03-04,2018,3,4,Sunday,09,2018-09,856.19,867.95,840.28,866.68,1697939968,866.68,1.103,864.8071428571428,955.8258000000001
2018-03-05,2018,3,5,Monday,09,2018-09,866.85,869.92,853.52,853.68,1898489984,853.68,-1.499,858.3657142857143,945.564
2018-03-06,2018,3,6,Tuesday,09,2018-09,853.82,853.82,809.93,816.95,1943069952,816.95,-4.303,852.7642857142857,936.0646
2018-03-07,2018,3,7,Wednesday,09,2018-09,816.27,825.61,726.55,752.83,2175419904,752.83,-7.849,845.8257142857143,930.0473999999999
2018-03-08,2018,3,8,Thursday,09,2018-09,752.57,773.77,696.17,704.6,1891640064,704.6,-6.407,838.0942857142857,923.8544
2018-03-09,2018,3,9,Friday,09,2018-09,702.2,729.16,648.11,728.92,2233019904,728.92,3.452,828.4321428571429,917.7072000000001
2018-03-10,2018,3,10,Saturday,09,2018-09,730.16,748.03,682.7,686.89,1532960000,686.89,-5.766,817.4585714285714,910.663
2018-03-11,2018,3,11,Sunday,10,2018-10,685.31,735.83,668.12,723.34,1562680064,723.34,5.306,808.782142857143,902.0268
2018-03-12,2018,3,12,Monday,10,2018-10,724.41,742.51,683.27,699.83,1764999936,699.83,-3.25,796.6757142857143,895.0318
2018-03-13,2018,3,13,Tuesday,10,2018-10,698.15,713.73,682.35,690.83,1425959936,690.83,-1.287,783.2871428571428,888.7832000000001
2018-03-14,2018,3,14,Wednesday,10,2018-10,691.22,702.78,594.1,614.29,1810560000,614.29,-11.079,766.0792857142858,881.3444000000001
2018-03-15,2018,3,15,Thursday,10,2018-10,614.84,620.62,579.51,611.3,1770460032,611.3,-0.486,747.4435714285713,872.3948000000001
2018-03-16,2018,3,16,Friday,10,2018-10,611.78,623.17,587.86,601.67,1417350016,601.67,-1.577,729.2164285714287,863.3076000000001
2018-03-17,2018,3,17,Saturday,10,2018-10,601.68,609.15,549.1,552.78,1267810048,552.78,-8.125,707.4707142857143,853.2597999999999
2018-03-18,2018,3,18,Sunday,11,2018-11,551.64,551.64,460.09,538.64,2685499904,538.64,-2.557,684.0392857142857,841.8911999999999
2018-03-19,2018,3,19,Monday,11,2018-11,546.63,558.1,519.12,556.73,2046790016,556.73,3.357,662.8285714285714,828.1056000000001
2018-03-20,2018,3,20,Tuesday,11,2018-11,556.72,567.09,521.2,557.17,1833680000,557.17,0.081,644.2728571428571,815.6018
2018-03-21,2018,3,21,Wednesday,11,2018-11,559.1,589.61,550.57,561.73,1781270016,561.73,0.818,630.6228571428571,805.4137999999999
2018-03-22,2018,3,22,Thursday,11,2018-11,562.1,577.57,523.09,539.7,1523459968,539.7,-3.922,618.8442857142857,793.8416000000001
2018-03-23,2018,3,23,Friday,11,2018-11,539.86,540.49,512.13,539.62,1596349952,539.62,-0.015,605.3228571428572,783.8982
2018-03-24,2018,3,24,Saturday,11,2018-11,542.57,545.38,526.08,526.44,1300009984,526.44,-2.442,593.8621428571429,776.1114
2018-03-25,2018,3,25,Sunday,12,2018-12,522.7,535.82,515.66,524.29,1151170048,524.29,-0.409,579.6442857142857,767.3168000000001
2018-03-26,2018,3,26,Monday,12,2018-12,524.29,526.38,470.44,489.95,1638880000,489.95,-6.549,564.6528571428572,760.4222
2018-03-27,2018,3,27,Tuesday,12,2018-12,489.59,491.46,449.97,450.12,1617939968,450.12,-8.13,547.4592857142858,755.4656
